"","x"
"493",3
"494",3
"495",4
"496",4
"497",3
"498",3
"499",4
"500",4
"501",1
"502",1
"503",3
"504",3
"505",1
"506",3
"507",1
"508",3
"509",3
"510",1
"511",3
"512",3
"513",1
"514",1
"515",1
"516",1
"517",1
"518",3
"519",3
"520",3
"521",3
"522",3
"523",1
"524",1
"525",3
"526",1
"527",1
"528",3
"529",4
"530",1
"531",1
"532",1
"533",1
"534",1
"535",3
"536",3
"537",4
"538",3
"539",1
"540",3
"541",1
"542",1
"543",1
"544",3
"545",4
"546",1
"547",1
"548",3
"549",2
"550",1
"551",3
"552",1
"553",1
"554",1
"555",3
"556",4
"557",1
"558",4
"559",1
"560",1
"561",3
"562",1
"563",1
"564",3
"565",1
"566",3
"567",2
"568",1
"569",3
"570",3
"571",3
"572",3
"573",1
"574",3
"575",3
"576",3
"577",3
"578",3
"579",4
"580",1
"581",3
"582",3
"583",3
"584",3
"585",1
"586",4
"587",1
"588",1
"589",3
"590",4
"591",1
"592",3
"593",3
"594",1
"595",1
"596",3
"597",1
"598",3
"599",1
"600",1
"601",3
"602",3
"603",3
"604",3
"605",1
"606",1
"607",3
"608",1
"609",1
"610",4
"611",3
"612",1
"613",3
"614",4
"615",1
"616",1
"617",4
"618",3
"619",3
"620",3
"621",4
"622",1
"623",1
"624",1
"625",4
"626",3
"627",1
"628",3
"629",1
"630",1
"631",1
"632",1
"633",1
"634",1
"635",3
"636",3
"637",1
"638",1
"639",3
"640",4
"641",3
"642",1
"643",1
"644",1
"645",3
"646",1
"647",3
"648",3
"649",4
"650",1
"651",3
"652",1
"653",3
"654",3
"655",1
"656",1
"657",3
"658",1
"659",1
"660",3
"661",1
"662",1
"663",1
"664",1
"665",1
"666",3
"667",3
"668",3
"669",1
"670",3
"671",3
"672",1
"673",3
"674",4
"675",4
"676",1
"677",3
"678",1
"679",3
"680",1
"681",1
"682",1
"683",1
"684",3
"685",1
"686",3
"687",3
"688",1
"689",3
"690",3
"691",3
"692",3
"693",1
"694",3
"695",1
"696",1
"697",3
"698",4
"699",1
"700",3
"701",1
"702",1
"703",3
"704",3
"705",4
"706",1
"707",4
"708",4
"709",3
"710",4
"711",3
"712",3
"713",1
"714",3
"715",1
"716",3
"717",3
"718",1
"719",3
"720",3
"721",1
"722",1
"723",3
"724",1
"725",1
"726",1
"727",1
"728",1
"729",3
"730",2
"731",1
"732",3
"733",1
"734",4
"735",4
"736",4
"737",1
"738",3
"739",3
"740",3
"741",4
"742",3
"743",3
"744",1
"745",1
"746",1
"747",4
"748",1
"749",3
"750",1
"751",3
"752",4
"753",1
"754",3
"755",3
"756",1
"757",1
"758",1
"759",1
"760",1
"761",1
"762",1
"763",3
"764",1
"765",3
"766",3
"767",3
"768",1
"769",1
"770",3
"771",4
"772",1
"773",3
"774",1
"775",1
"776",3
"777",3
"778",3
"779",1
"780",1
"781",1
"782",1
"783",1
"784",1
"785",1
"786",3
"787",1
"788",1
"789",3
"790",3
"791",3
"792",1
"793",1
"794",3
"795",1
"796",3
"797",3
"798",3
"799",1
"800",1
"801",3
"802",1
"803",3
"804",1
"805",4
"806",3
"807",1
"808",1
"809",1
"810",3
"811",3
"812",4
"813",3
"814",1
"815",4
"816",3
"817",3
"818",1
"819",4
"820",3
"821",3
"822",1
"823",3
"824",3
"825",4
"826",1
"827",1
"828",1
"829",1
"830",1
"831",3
"832",4
"833",4
"834",1
"835",3
"836",3
"837",1
"838",1
"839",1
"840",1
"841",1
"842",1
"843",1
"844",1
"845",3
"846",1
"847",3
"848",3
"849",1
"850",4
"851",1
"852",1
"853",4
"854",3
"855",3
"856",1
"857",1
"858",3
"859",3
"860",4
"861",3
"862",1
"863",3
"864",3
"865",3
"866",1
"867",3
"868",3
"869",1
"870",1
"871",1
"872",1
"873",3
"874",3
"875",3
"876",3
"877",1
"878",4
"879",1
"880",1
"881",3
"882",3
"883",3
"884",1
"885",1
"886",3
"887",3
"888",4
"889",3
"890",1
"891",1
"892",3
"893",1
"894",3
"895",3
"896",3
"897",1
"898",3
"899",3
"900",1
"901",3
"902",3
"903",3
"904",1
"905",3
"906",4
"907",3
"908",1
"909",1
"910",3
"911",1
"912",3
"913",1
"914",3
"915",1
"916",3
"917",4
"918",3
"919",4
"920",1
"921",1
"922",3
"923",3
"924",4
"925",3
"926",3
"927",3
"928",4
"929",3
"930",4
"931",1
"932",1
"933",3
"934",1
"935",3
"936",3
"937",4
"938",3
"939",3
"940",1
"941",3
"942",1
"943",2
"944",4
"945",3
"946",3
"947",4
"948",1
"949",1
"950",3
"951",3
"952",1
"953",4
"954",4
"955",3
"956",1
"957",4
"958",1
"959",3
"960",3
"961",1
"962",3
"963",1
"964",1
"965",4
"966",3
"967",1
"968",1
"969",3
"970",3
"971",1
"972",3
"973",1
"974",3
"975",3
"976",3
"977",3
"978",3
"979",2
"980",1
"981",3
"982",1
"983",3
"984",1
"985",3
"986",4
"987",1
"988",1
"989",3
"990",3
"991",3
"992",1
"993",1
"994",1
"995",3
"996",1
"997",4
"998",1
"999",1
"1000",4
"1001",1
"1002",3
"1003",4
"1004",3
"1005",3
"1006",3
"1007",3
"1008",4
"1009",3
"1010",3
"1011",3
"1012",1
"1013",3
"1014",3
"1015",1
"1016",3
"1017",1
"1018",3
"1019",3
"1020",3
"1021",1
"1022",3
"1023",1
"1024",3
"1025",1
"1026",1
"1027",4
"1028",3
"1029",3
"1030",4
"1031",1
"1032",3
"1033",3
"1034",1
"1035",3
"1036",1
"1037",3
"1038",1
"1039",1
"1040",3
"1041",1
"1042",4
"1043",3
"1044",4
"1045",1
"1046",1
"1047",3
"1048",3
"1049",3
"1050",3
"1051",3
"1052",1
"1053",1
"1054",1
"1055",3
"1056",3
"1057",3
"1058",1
"1059",1
"1060",3
"1061",3
"1062",3
"1063",3
"1064",3
"1065",3
"1066",3
"1067",2
"1068",4
"1069",1
"1070",4
"1071",1
"1072",1
"1073",1
"1074",1
"1075",3
"1076",3
"1077",4
"1078",3
"1079",3
"1080",1
"1081",4
"1082",4
"1083",1
"1084",4
"1085",1
"1086",3
"1087",3
"1088",3
"1089",1
"1090",1
"1091",4
"1092",3
"1093",1
"1094",3
"1095",1
"1096",4
"1097",1
"1098",1
"1099",1
"1100",3
"1101",3
"1102",1
"1103",1
"1104",3
"1105",3
"1106",1
"1107",4
"1108",3
"1109",1
"1110",1
"1111",4
"1112",4
"1113",1
"1114",3
"1115",1
"1116",3
"1117",4
"1118",4
"1119",2
"1120",1
"1121",4
"1122",1
"1123",3
"1124",3
"1125",3
"1126",3
"1127",1
"1128",3
"1129",3
"1130",4
"1131",4
"1132",1
"1133",1
"1134",4
"1135",3
"1136",4
"1137",3
"1138",3
"1139",3
"1140",1
"1141",3
"1142",3
"1143",1
"1144",2
"1145",3
"1146",3
"1147",4
"1148",4
"1149",3
"1150",4
"1151",1
"1152",3
"1153",3
"1154",1
"1155",3
"1156",4
"1157",3
"1158",2
"1159",1
"1160",1
"1161",3
"1162",1
"1163",1
"1164",1
"1165",1
"1166",1
"1167",4
"1168",3
"1169",1
"1170",1
"1171",1
"1172",3
"1173",1
"1174",3
"1175",4
"1176",3
"1177",3
"1178",1
"1179",1
"1180",4
"1181",3
"1182",1
"1183",1
"1184",3
"1185",1
"1186",3
"1187",4
"1188",3
"1189",3
"1190",3
"1191",3
"1192",1
"1193",1
"1194",1
"1195",3
"1196",4
"1197",3
"1198",4
"1199",3
"1200",3
"1201",1
"1202",1
"1203",3
"1204",1
"1205",2
"1206",1
"1207",3
"1208",1
"1209",3
"1210",1
"1211",3
"1212",1
"1213",3
"1214",4
"1215",1
"1216",4
"1217",3
"1218",1
"1219",1
"1220",3
"1221",3
"1222",3
"1223",3
"1224",1
"1225",3
"1226",3
"1227",3
"1228",1
"1229",1
"1230",1
"1231",4
"1232",4
"1233",4
"1234",1
"1235",1
"1236",1
"1237",1
"1238",3
"1239",3
"1240",3
"1241",4
"1242",3
"1243",3
"1244",1
"1245",3
"1246",1
"1247",1
"1248",3
"1249",1
"1250",3
"1251",1
"1252",3
"1253",2
"1254",3
"1255",1
"1256",3
"1257",1
"1258",3
"1259",4
"1260",3
"1261",1
"1262",3
"1263",1
"1264",3
"1265",1
"1266",3
"1267",4
"1268",4
"1269",1
"1270",3
"1271",4
"1272",1
"1273",3
"1274",4
"1275",1
"1276",4
"1277",1
"1278",1
"1279",3
"1280",3
"1281",1
"1282",1
"1283",4
"1284",4
"1285",3
"1286",1
"1287",4
"1288",4
"1289",1
"1290",1
"1291",1
"1292",3
"1293",3
"1294",3
"1295",4
"1296",1
"1297",3
"1298",3
"1299",1
"1300",1
"1301",1
"1302",4
"1303",1
"1304",1
"1305",3
"1306",1
"1307",1
"1308",1
"1309",3
"1310",1
"1311",3
"1312",3
"1313",1
"1314",4
"1315",4
"1316",3
"1317",1
"1318",4
"1319",1
"1320",1
"1321",3
"1322",1
"1323",1
"1324",3
"1325",3
"1326",1
"1327",3
"1328",1
"1329",3
"1330",1
"1331",1
"1332",3
"1333",3
"1334",3
"1335",3
"1336",3
"1337",1
"1338",1
"1339",3
"1340",3
"1341",1
"1342",1
"1343",3
"1344",3
"1345",4
"1346",4
"1347",3
"1348",4
"1349",3
"1350",3
"1351",1
"1352",3
"1353",3
"1354",4
"1355",1
"1356",1
"1357",1
"1358",1
"1359",1
"1360",1
"1361",1
"1362",4
"1363",3
"1364",3
"1365",1
"1366",1
"1367",1
"1368",1
"1369",3
"1370",1
"1371",3
"1372",3
"1373",3
"1374",3
"1375",3
"1376",1
"1377",4
"1378",1
"1379",4
"1380",4
"1381",1
"1382",1
"1383",1
"1384",3
"1385",3
"1386",1
"1387",3
"1388",3
"1389",1
"1390",1
"1391",3
"1392",4
"1393",4
"1394",3
"1395",1
"1396",4
"1397",1
"1398",4
"1399",1
"1400",1
"1401",3
"1402",3
"1403",2
"1404",1
"1405",3
"1406",1
"1407",1
"1408",3
"1409",3
"1410",3
"1411",1
"1412",1
"1413",3
"1414",1
"1415",3
"1416",3
"1417",3
"1418",3
"1419",1
"1420",4
"1421",1
"1422",4
"1423",1
"1424",3
"1425",1
"1426",3
"1427",4
"1428",3
"1429",3
"1430",4
"1431",1
"1432",1
"1433",1
"1434",3
"1435",3
"1436",3
"1437",3
"1438",1
"1439",1
"1440",3
"1441",3
"1442",3
"1443",2
"1444",1
"1445",3
"1446",1
"1447",3
"1448",3
"1449",1
"1450",1
"1451",1
"1452",1
"1453",1
"1454",4
"1455",4
"1456",3
"1457",4
"1458",3
"1459",1
"1460",3
"1461",1
"1462",3
"1463",1
"1464",1
"1465",1
"1466",3
"1467",1
"1468",4
"1469",3
"1470",1
"1471",1
"1472",1
"1473",1
"1474",1
"1475",3
"1476",1
"1477",3
"1478",3
"1479",3
"1480",3
"1481",4
"1482",4
"1483",3
"1484",1
"1485",4
"1486",4
"1487",4
"1488",3
"1489",4
"1490",3
"1491",1
"1492",1
"1493",3
"1494",3
"1495",1
"1496",3
"1497",3
"1498",1
"1499",4
"1500",2
"1501",1
"1502",4
"1503",1
"1504",3
"1505",4
"1506",1
"1507",3
"1508",3
"1509",3
"1510",1
"1511",3
"1512",1
"1513",3
"1514",3
"1515",3
"1516",3
"1517",3
"1518",1
"1519",1
"1520",1
"1521",3
"1522",4
"1523",1
"1524",4
"1525",3
"1526",3
"1527",1
"1528",1
"1529",1
"1530",3
"1531",3
"1532",1
"1533",1
"1534",1
"1535",3
"1536",3
"1537",3
"1538",3
"1539",3
"1540",3
"1541",3
"1542",4
"1543",3
"1544",1
"1545",3
"1546",3
"1547",1
"1548",1
"1549",3
"1550",3
"1551",1
"1552",3
"1553",1
"1554",3
"1555",1
"1556",3
"1557",2
"1558",4
"1559",4
"1560",3
"1561",1
"1562",3
"1563",1
"1564",4
"1565",1
"1566",3
"1567",3
"1568",3
"1569",1
"1570",1
"1571",3
"1572",1
"1573",4
"1574",1
"1575",3
"1576",1
"1577",1
"1578",1
"1579",1
"1580",3
"1581",3
"1582",3
"1583",1
"1584",3
"1585",4
"1586",3
"1587",3
"1588",3
"1589",1
"1590",3
"1591",1
"1592",3
"1593",3
"1594",3
"1595",1
"1596",3
"1597",4
"1598",1
"1599",4
"1600",3
"1601",1
"1602",3
"1603",1
"1604",1
"1605",3
"1606",3
"1607",1
"1608",1
"1609",4
"1610",3
"1611",3
"1612",3
"1613",3
"1614",3
"1615",3
"1616",1
"1617",1
"1618",1
"1619",1
"1620",3
"1621",1
"1622",1
"1623",1
"1624",1
"1625",1
"1626",3
"1627",3
"1628",4
"1629",1
"1630",1
"1631",3
"1632",4
"1633",3
"1634",3
"1635",4
"1636",1
"1637",3
"1638",1
"1639",1
"1640",3
"1641",1
"1642",4
"1643",4
"1644",1
"1645",1
"1646",3
"1647",1
"1648",1
"1649",1
"1650",1
"1651",3
"1652",3
"1653",3
"1654",3
"1655",3
"1656",1
"1657",1
"1658",3
"1659",1
"1660",1
"1661",3
"1662",3
"1663",1
"1664",4
"1665",3
"1666",3
"1667",1
"1668",1
"1669",3
"1670",3
"1671",3
"1672",3
"1673",1
"1674",3
"1675",1
"1676",3
"1677",3
"1678",4
"1679",3
"1680",1
"1681",4
"1682",1
"1683",3
"1684",3
"1685",3
"1686",4
"1687",1
"1688",3
"1689",1
"1690",1
"1691",3
"1692",4
"1693",3
"1694",3
"1695",3
"1696",1
"1697",4
"1698",3
"1699",1
"1700",1
"1701",2
"1702",3
"1703",3
"1704",3
"1705",1
"1706",3
"1707",1
"1708",1
"1709",3
"1710",1
"1711",3
"1712",3
"1713",1
"1714",3
"1715",1
"1716",3
"1717",4
"1718",3
"1719",3
"1720",3
"1721",1
"1722",3
"1723",3
"1724",1
"1725",3
"1726",1
"1727",1
"1728",1
"1729",1
"1730",3
"1731",4
"1732",3
"1733",1
"1734",1
"1735",3
"1736",3
"1737",1
"1738",3
"1739",1
"1740",1
"1741",4
"1742",3
"1743",1
"1744",1
"1745",1
"1746",3
"1747",3
"1748",3
"1749",3
"1750",1
"1751",3
"1752",1
"1753",4
"1754",3
"1755",1
"1756",1
"1757",1
"1758",3
"1759",3
"1760",1
"1761",3
"1762",4
"1763",3
"1764",4
"1765",1
"1766",3
"1767",3
"1768",4
"1769",4
"1770",1
"1771",3
"1772",4
"1773",3
"1774",1
"1775",1
"1776",3
"1777",3
"1778",1
"1779",1
"1780",3
"1781",3
"1782",3
"1783",1
"1784",3
"1785",1
"1786",3
"1787",4
"1788",4
"1789",1
"1790",3
"1791",4
"1792",1
"1793",4
"1794",1
"1795",1
"1796",3
"1797",1
"1798",3
"1799",1
"1800",3
"1801",1
"1802",3
"1803",3
"1804",1
"1805",4
"1806",1
"1807",3
"1808",3
"1809",3
"1810",1
"1811",4
"1812",3
"1813",1
"1814",3
"1815",1
"1816",1
"1817",1
"1818",3
"1819",1
"1820",3
"1821",1
"1822",3
"1823",3
"1824",4
"1825",2
"1826",3
"1827",4
"1828",4
"1829",1
"1830",3
"1831",1
"1832",1
"1833",1
"1834",3
"1835",1
"1836",1
"1837",3
"1838",3
"1839",3
"1840",3
"1841",1
"1842",1
"1843",1
"1844",3
"1845",1
"1846",3
"1847",1
"1848",3
"1849",3
"1850",3
"1851",1
"1852",1
"1853",2
"1854",3
"1855",1
"1856",3
"1857",1
"1858",3
"1859",1
"1860",1
"1861",1
"1862",3
"1863",3
"1864",1
"1865",3
"1866",1
"1867",3
"1868",4
"1869",3
"1870",1
"1871",3
"1872",3
"1873",1
"1874",3
"1875",3
"1876",3
"1877",1
"1878",1
"1879",1
"1880",3
"1881",3
"1882",3
"1883",1
"1884",1
"1885",4
"1886",1
"1887",1
"1888",1
"1889",1
"1890",1
"1891",3
"1892",3
"1893",3
"1894",1
"1895",3
"1896",1
"1897",3
"1898",3
"1899",4
"1900",1
"1901",1
"1902",3
"1903",3
"1904",1
"1905",4
"1906",1
"1907",3
"1908",3
"1909",2
"1910",3
"1911",3
"1912",1
"1913",3
"1914",1
"1915",1
"1916",2
"1917",3
"1918",1
"1919",1
"1920",3
"1921",1
"1922",3
"1923",3
"1924",1
"1925",3
"1926",3
"1927",3
"1928",3
"1929",3
"1930",3
"1931",1
"1932",4
"1933",3
"1934",1
"1935",1
"1936",3
"1937",4
"1938",3
"1939",1
"1940",1
"1941",1
"1942",3
"1943",1
"1944",1
"1945",1
"1946",3
"1947",2
"1948",1
"1949",3
"1950",3
"1951",3
"1952",1
"1953",3
"1954",1
"1955",1
"1956",4
"1957",1
"1958",3
"1959",3
"1960",3
"1961",1
"1962",3
"1963",1
"1964",1
"1965",3
"1966",1
"1967",1
"1968",4
"1969",1
"1970",1
"1971",4
"1972",1
"1973",1
"1974",3
"1975",3
"1976",3
"1977",3
"1978",3
"1979",3
"1980",3
"1981",3
"1982",1
"1983",3
"1984",3
"1985",1
"1986",4
"1987",4
"1988",1
"1989",3
"1990",1
"1991",1
"1992",1
"1993",4
"1994",3
"1995",3
"1996",1
"1997",2
"1998",1
"1999",3
"2000",4
"2001",1
"2002",3
"2003",1
"2004",2
"2005",3
"2006",1
"2007",1
"2008",1
"2009",3
"2010",4
"2011",2
"2012",3
"2013",3
"2014",1
"2015",4
"2016",4
"2017",3
"2018",4
"2019",3
"2020",3
"2021",1
"2022",4
"2023",3
"2024",3
"2025",1
"2026",1
"2027",1
"2028",1
"2029",1
"2030",1
"2031",1
"2032",1
"2033",1
"2034",3
"2035",1
"2036",3
"2037",3
"2038",1
"2039",1
"2040",1
"2041",3
"2042",1
"2043",4
"2044",3
"2045",1
"2046",1
"2047",4
"2048",1
"2049",3
"2050",3
"2051",3
"2052",3
"2053",3
"2054",3
"2055",1
"2056",1
"2057",3
"2058",1
"2059",4
"2060",3
"2061",1
"2062",4
"2063",1
"2064",1
"2065",1
"2066",3
"2067",3
"2068",3
"2069",1
"2070",3
"2071",3
"2072",3
"2073",3
"2074",3
"2075",1
"2076",1
"2077",4
"2078",4
"2079",3
"2080",3
"2081",1
"2082",3
"2083",1
"2084",3
"2085",4
"2086",1
"2087",3
"2088",3
"2089",4
"2090",1
"2091",3
"2092",1
"2093",1
"2094",3
"2095",3
"2096",1
"2097",3
"2098",4
"2099",1
"2100",1
"2101",3
"2102",3
"2103",3
"2104",1
"2105",3
"2106",3
"2107",3
"2108",3
"2109",1
"2110",3
"2111",4
"2112",3
"2113",3
"2114",3
"2115",3
"2116",1
"2117",3
"2118",3
"2119",1
"2120",1
"2121",1
"2122",3
"2123",3
"2124",3
"2125",1
"2126",1
"2127",1
"2128",1
"2129",1
"2130",3
"2131",1
"2132",1
"2133",1
"2134",1
"2135",4
"2136",3
"2137",1
"2138",1
"2139",3
"2140",1
"2141",1
"2142",1
"2143",1
"2144",3
"2145",1
"2146",1
"2147",1
"2148",1
"2149",4
"2150",3
"2151",3
"2152",1
"2153",1
"2154",3
"2155",4
"2156",1
"2157",1
"2158",1
"2159",1
"2160",4
"2161",1
"2162",4
"2163",4
"2164",3
"2165",1
"2166",1
"2167",3
"2168",1
"2169",3
"2170",4
"2171",3
"2172",3
"2173",1
"2174",1
"2175",1
"2176",3
"2177",4
"2178",1
"2179",3
"2180",3
"2181",3
"2182",3
"2183",1
"2184",3
"2185",1
"2186",4
"2187",3
"2188",1
"2189",3
"2190",1
"2191",1
"2192",3
"2193",1
"2194",1
"2195",3
"2196",1
"2197",1
"2198",1
"2199",1
"2200",1
"2201",1
"2202",1
"2203",4
"2204",4
"2205",4
"2206",3
"2207",1
"2208",2
"2209",3
"2210",1
"2211",3
"2212",3
"2213",3
"2214",1
"2215",3
"2216",4
"2217",4
"2218",1
"2219",3
"2220",1
"2221",4
"2222",3
"2223",1
"2224",2
"2225",2
"2226",1
"2227",3
"2228",1
"2229",3
"2230",3
"2231",1
"2232",1
"2233",3
"2234",1
"2235",3
"2236",1
"2237",1
"2238",1
"2239",3
"2240",1
"2241",1
"2242",1
"2243",1
"2244",3
"2245",3
"2246",4
"2247",3
"2248",3
"2249",1
"2250",1
"2251",2
"2252",1
"2253",1
"2254",4
"2255",3
"2256",3
"2257",1
"2258",1
"2259",1
"2260",1
"2261",1
"2262",2
"2263",1
"2264",3
"2265",1
"2266",1
"2267",3
"2268",1
"2269",1
"2270",3
"2271",3
"2272",4
"2273",3
"2274",1
"2275",3
"2276",1
"2277",1
"2278",1
"2279",3
"2280",1
"2281",1
"2282",3
"2283",3
"2284",1
"2285",1
"2286",3
"2287",1
"2288",1
"2289",3
"2290",1
"2291",3
"2292",4
"2293",3
"2294",3
"2295",1
"2296",3
"2297",3
"2298",3
"2299",1
"2300",1
"2301",3
"2302",3
"2303",2
"2304",3
"2305",4
"2306",3
"2307",1
"2308",1
"2309",4
"2310",3
"2311",4
"2312",1
"2313",1
"2314",3
"2315",4
"2316",1
"2317",3
"2318",1
"2319",1
"2320",3
"2321",3
"2322",1
"2323",3
"2324",4
"2325",1
"2326",3
"2327",3
"2328",3
"2329",3
"2330",1
"2331",1
"2332",3
"2333",3
"2334",3
"2335",3
"2336",3
"2337",3
"2338",4
"2339",3
"2340",1
"2341",1
"2342",1
"2343",4
"2344",3
"2345",3
"2346",1
"2347",1
"2348",3
"2349",3
"2350",3
"2351",4
"2352",1
"2353",4
"2354",3
"2355",3
"2356",1
"2357",1
"2358",1
"2359",3
"2360",3
"2361",1
"2362",1
"2363",1
"2364",3
"2365",1
"2366",1
"2367",3
"2368",1
"2369",3
"2370",3
"2371",3
"2372",3
"2373",4
"2374",1
"2375",3
"2376",4
"2377",3
"2378",3
"2379",1
"2380",1
"2381",1
"2382",1
"2383",1
"2384",1
"2385",1
"2386",1
"2387",3
"2388",3
"2389",1
"2390",1
"2391",1
"2392",3
"2393",3
"2394",4
"2395",3
"2396",1
"2397",1
"2398",3
"2399",3
"2400",1
"2401",1
"2402",3
"2403",1
"2404",3
"2405",1
"2406",1
"2407",1
"2408",3
"2409",3
"2410",1
"2411",3
"2412",1
"2413",4
"2414",1
"2415",3
"2416",3
"2417",1
"2418",1
"2419",1
"2420",3
"2421",3
"2422",3
"2423",3
"2424",1
"2425",1
"2426",1
"2427",1
"2428",1
"2429",3
"2430",3
"2431",4
"2432",1
"2433",3
"2434",1
"2435",3
"2436",3
"2437",3
"2438",1
"2439",1
"2440",1
"2441",3
"2442",4
"2443",3
"2444",1
"2445",3
"2446",3
"2447",3
"2448",4
"2449",3
"2450",4
"2451",1
"2452",4
"2453",1
"2454",3
"2455",3
"2456",1
"2457",1
"2458",3
"2459",3
"2460",1
"2461",3
"2462",4
"2463",3
"2464",3
"2465",3
"2466",4
"2467",1
"2468",1
"2469",3
"2470",2
"2471",3
"2472",3
"2473",3
"2474",1
"2475",1
"2476",3
"2477",3
"2478",1
"2479",4
"2480",1
"2481",1
"2482",1
"2483",2
"2484",3
"2485",3
"2486",3
"2487",1
"2488",4
"2489",4
"2490",1
"2491",3
"2492",3
"2493",3
"2494",3
"2495",1
"2496",4
"2497",4
"2498",1
